transaction_id,customer_id,transaction_date,amount,items,merchant_category,channel,country,customer_age,loyalty_points
TXN-000001,CUST-0138,2026-05-26,78.97,10,healthcare,online,GB,24,877
TXN-000002,CUST-0065,2026-05-21,97.27,9,travel,mobile,GB,29,815
TXN-000003,CUST-0230,2026-05-11,33.15,6,restaurants,in_store,GB,46,1530
TXN-000004,CUST-0257,2026-02-13,61.08,10,fuel,online,FR,57,2440
TXN-000005,CUST-0098,2026-05-17,50.08,11,groceries,in_store,GB,81,3982
TXN-000006,CUST-0362,2026-01-02,84.75,10,travel,online,US,58,2856
TXN-000007,CUST-0205,2026-05-16,29.18,4,healthcare,in_store,GB,42,1480
TXN-000008,CUST-0339,2026-05-12,59.44,7,healthcare,online,US,56,2293
TXN-000009,CUST-0145,2026-03-08,29.17,7,fuel,in_store,DE,80,3687
TXN-000010,CUST-0200,2026-01-18,28.59,4,groceries,in_store,US,65,2646
TXN-000011,CUST-0175,2026-04-18,54.81,6,healthcare,in_store,GB,34,1260
TXN-000012,CUST-0393,2026-06-22,55.97,4,groceries,online,DE,18,268
TXN-000013,CUST-0117,2026-03-23,7.39,1,groceries,online,ES,79,3512
TXN-000014,CUST-0286,2026-05-15,50.34,6,utilities,in_store,DE,80,3919
TXN-000015,CUST-0316,2026-01-14,19.38,3,healthcare,in_store,ES,21,617
TXN-000016,CUST-0247,2026-06-21,28.28,3,fuel,online,NL,21,133
TXN-000017,CUST-0137,2026-01-15,35.96,5,travel,in_store,US,79,3715
TXN-000018,CUST-0138,2026-01-03,48.15,5,groceries,in_store,US,22,320
TXN-000019,CUST-0293,2026-04-04,45.71,11,healthcare,online,US,72,3188
TXN-000020,CUST-0164,2026-06-21,26.96,2,restaurants,online,GB,35,607
TXN-000021,CUST-0369,2026-01-08,40.74,8,electronics,in_store,US,22,143
TXN-000022,CUST-0238,2026-02-22,70.99,8,fuel,mobile,GB,47,989
TXN-000023,CUST-0141,2026-01-07,10.39,6,electronics,in_store,US,22,22
TXN-000024,CUST-0127,2026-05-28,42.72,8,electronics,online,GB,47,1404
TXN-000025,CUST-0104,2026-01-08,79.31,6,travel,online,GB,44,1174
TXN-000026,CUST-0395,2026-05-02,4.87,1,groceries,in_store,GB,18,0
TXN-000027,CUST-0070,2026-01-13,128.27,8,groceries,online,US,75,3202
TXN-000028,CUST-0029,2026-01-06,9.2,1,healthcare,in_store,GB,58,2864
TXN-000029,CUST-0245,2026-05-08,65.57,8,travel,online,GB,73,3623
TXN-000030,CUST-0376,2026-02-15,46.09,5,healthcare,online,US,32,1210
TXN-000031,CUST-0244,2026-06-19,8.2,2,electronics,mobile,DE,24,247
TXN-000032,CUST-0130,2026-06-05,19.05,5,groceries,online,ES,54,2113
TXN-000033,CUST-0027,2026-05-19,11.77,2,travel,in_store,FR,38,1432
TXN-000034,CUST-0049,2026-02-18,54.15,7,fuel,online,NL,75,3436
TXN-000035,CUST-0223,2026-05-23,124.63,8,healthcare,online,GB,26,789
TXN-000036,CUST-0149,2026-04-06,38.02,5,travel,in_store,US,68,2948
TXN-000037,CUST-0157,2026-03-15,12.78,2,restaurants,online,ES,74,3344
TXN-000038,CUST-0111,2026-06-15,4.5,1,fuel,mobile,US,66,2855
TXN-000039,CUST-0187,2026-03-31,24.05,2,travel,mobile,GB,47,1855
TXN-000040,CUST-0058,2026-06-04,128.37,6,utilities,online,US,20,346
TXN-000041,CUST-0154,2026-04-11,82.1,8,restaurants,online,US,73,3472
TXN-000042,CUST-0288,2026-06-13,73.71,5,electronics,online,ES,43,1815
TXN-000043,CUST-0329,2026-06-09,53.57,4,travel,mobile,GB,25,496
TXN-000044,CUST-0346,2026-06-18,22.17,3,groceries,online,GB,70,3134
TXN-000045,CUST-0249,2026-01-21,93.05,11,healthcare,online,FR,19,263
TXN-000046,CUST-0150,2026-02-06,40.99,10,fuel,online,FR,68,2730
TXN-000047,CUST-0203,2026-05-28,19.9,5,electronics,online,GB,34,1085
TXN-000048,CUST-0234,2026-04-12,20.09,3,travel,mobile,DE,71,3498
TXN-000049,CUST-0236,2026-04-22,27.05,2,electronics,online,US,41,1378
TXN-000050,CUST-0164,2026-03-24,81.3,8,electronics,online,FR,30,672
TXN-000051,CUST-0071,2026-03-06,33.66,8,electronics,online,GB,31,378
TXN-000052,CUST-0261,2026-04-10,18.51,2,travel,online,GB,33,1166
TXN-000053,CUST-0353,2026-04-06,53.02,10,electronics,online,GB,48,1525
TXN-000054,CUST-0046,2026-05-14,18.4,4,utilities,mobile,GB,62,2682
TXN-000055,CUST-0188,2026-06-01,95.48,9,electronics,online,ES,53,2026
TXN-000056,CUST-0228,2026-03-21,44.75,4,travel,online,GB,56,2045
TXN-000057,CUST-0251,2026-01-04,35.31,5,healthcare,online,GB,64,2934
TXN-000058,CUST-0210,2026-03-30,60.66,10,healthcare,online,GB,50,1636
TXN-000059,CUST-0334,2026-04-19,61.44,9,groceries,in_store,ES,41,1389
TXN-000060,CUST-0044,2026-01-05,62.01,8,travel,online,GB,25,542
TXN-000061,CUST-0116,2026-03-10,11.26,2,groceries,in_store,ES,77,3330
TXN-000062,CUST-0005,2026-05-10,95.79,7,restaurants,online,FR,60,2694
TXN-000063,CUST-0100,2026-02-22,26.48,5,travel,in_store,DE,27,362
TXN-000064,CUST-0251,2026-06-24,22.04,7,fuel,online,GB,65,2246
TXN-000065,CUST-0219,2026-02-02,46.07,3,travel,online,FR,37,1436
