transaction_id,customer_id,transaction_date,amount,items,merchant_category,channel,country,customer_age,loyalty_points
TXN-000001,CUST-0138,2026-03-16,31.57,1,electronics,in_store,NL,38,1369
TXN-000002,CUST-0065,2026-06-09,7.45,5,electronics,online,GB,62,1718
TXN-000003,CUST-0230,2026-04-04,15.27,7,travel,mobile,GB,18,3435
TXN-000004,CUST-0257,2026-02-23,8.45,11,utilities,in_store,GB,28,3250
TXN-000005,CUST-0098,2026-01-24,22.99,10,electronics,in_store,GB,69,2163
TXN-000006,CUST-0362,2026-03-26,37.91,10,groceries,online,GB,31,396
TXN-000007,CUST-0205,2026-03-16,58.01,1,travel,online,FR,27,452
TXN-000008,CUST-0339,2026-06-27,10.13,5,restaurants,online,US,70,2826
TXN-000009,CUST-0145,2026-06-15,24.18,2,electronics,mobile,DE,35,1657
TXN-000010,CUST-0200,2026-05-12,5.91,5,restaurants,online,ES,74,2706
TXN-000011,CUST-0175,2026-05-05,35.49,2,travel,in_store,FR,60,3648
TXN-000012,CUST-0393,2026-03-20,78.98,4,restaurants,in_store,FR,53,1554
TXN-000013,CUST-0117,2026-02-17,14.07,5,utilities,online,GB,39,2391
TXN-000014,CUST-0286,2026-05-07,30.36,5,utilities,online,GB,28,4929
TXN-000015,CUST-0316,2026-01-13,54.71,2,travel,online,GB,56,4522
TXN-000016,CUST-0247,2026-01-23,67.0,9,travel,online,GB,73,1676
TXN-000017,CUST-0137,2026-04-18,21.92,5,fuel,mobile,ES,73,1838
TXN-000018,CUST-0138,2026-05-24,12.81,7,utilities,mobile,GB,60,423
TXN-000019,CUST-0293,2026-02-25,15.85,4,travel,online,FR,52,2893
TXN-000020,CUST-0164,2026-05-24,11.44,5,healthcare,in_store,US,19,1577
TXN-000021,CUST-0369,2026-06-07,14.25,1,groceries,in_store,FR,54,1921
TXN-000022,CUST-0238,2026-01-25,36.64,1,electronics,in_store,NL,65,4277
TXN-000023,CUST-0141,2026-01-24,21.76,11,groceries,online,DE,45,4526
TXN-000024,CUST-0127,2026-06-15,77.87,11,restaurants,online,GB,66,81
TXN-000025,CUST-0104,2026-02-12,15.85,3,restaurants,online,US,34,1953
TXN-000026,CUST-0395,2026-05-15,8.91,9,utilities,in_store,DE,48,894
TXN-000027,CUST-0070,2026-06-25,24.27,1,fuel,mobile,US,36,28
TXN-000028,CUST-0029,2026-06-26,21.41,4,travel,online,GB,30,3682
TXN-000029,CUST-0245,2026-03-17,8.18,4,restaurants,in_store,NL,77,2045
TXN-000030,CUST-0376,2026-03-05,8.53,3,electronics,in_store,NL,67,1675
TXN-000031,CUST-0244,2026-02-16,106.87,1,utilities,mobile,GB,51,4553
TXN-000032,CUST-0130,2026-06-08,88.49,3,electronics,online,DE,77,1606
TXN-000033,CUST-0027,2026-06-25,25.03,9,restaurants,in_store,NL,48,2904
TXN-000034,CUST-0049,2026-04-09,21.19,5,healthcare,online,GB,68,3362
TXN-000035,CUST-0223,2026-04-18,10.48,8,electronics,online,US,67,4544
TXN-000036,CUST-0149,2026-01-16,12.0,2,electronics,online,FR,68,3727
TXN-000037,CUST-0157,2026-01-03,21.93,3,electronics,mobile,US,37,4457
TXN-000038,CUST-0111,2026-06-06,21.79,11,fuel,in_store,US,63,289
TXN-000039,CUST-0187,2026-03-01,41.27,4,travel,in_store,NL,69,4542
TXN-000040,CUST-0058,2026-01-24,35.12,5,groceries,online,US,79,2866
TXN-000041,CUST-0154,2026-03-03,28.19,2,electronics,mobile,FR,25,2274
TXN-000042,CUST-0288,2026-06-22,4.6,2,groceries,mobile,ES,37,3728
TXN-000043,CUST-0329,2026-02-01,17.98,5,fuel,online,GB,52,607
TXN-000044,CUST-0346,2026-05-10,7.62,6,utilities,online,US,43,2044
TXN-000045,CUST-0249,2026-05-22,23.24,2,groceries,online,ES,71,2851
TXN-000046,CUST-0150,2026-05-25,8.26,5,restaurants,mobile,FR,80,3296
TXN-000047,CUST-0203,2026-03-08,23.22,6,travel,mobile,GB,40,1023
TXN-000048,CUST-0234,2026-04-24,14.03,9,healthcare,in_store,US,34,3423
TXN-000049,CUST-0236,2026-03-21,20.11,8,restaurants,in_store,FR,56,463
TXN-000050,CUST-0164,2026-06-25,59.65,8,healthcare,online,GB,46,2903
TXN-000051,CUST-0071,2026-04-09,12.7,11,travel,mobile,FR,75,2641
TXN-000052,CUST-0261,2026-03-08,29.06,5,electronics,online,FR,31,3465
TXN-000053,CUST-0353,2026-05-04,72.76,5,fuel,online,NL,72,4713
TXN-000054,CUST-0046,2026-05-10,11.01,10,electronics,online,US,39,2509
TXN-000055,CUST-0188,2026-01-18,14.12,3,restaurants,mobile,NL,34,4922
TXN-000056,CUST-0228,2026-01-29,71.97,6,groceries,mobile,DE,70,4193
TXN-000057,CUST-0251,2026-03-20,39.07,2,utilities,in_store,DE,31,40
TXN-000058,CUST-0210,2026-01-15,49.68,5,groceries,mobile,FR,34,1062
TXN-000059,CUST-0334,2026-01-26,15.96,9,electronics,mobile,DE,27,4809
TXN-000060,CUST-0044,2026-04-29,17.06,3,utilities,mobile,GB,74,504
TXN-000061,CUST-0116,2026-03-22,37.44,4,restaurants,online,DE,27,3498
TXN-000062,CUST-0005,2026-03-25,21.87,7,electronics,mobile,GB,20,924
TXN-000063,CUST-0100,2026-03-24,10.95,1,groceries,in_store,US,48,4795
TXN-000064,CUST-0251,2026-06-26,15.8,11,restaurants,online,GB,21,829
TXN-000065,CUST-0219,2026-05-03,13.38,7,fuel,online,GB,46,4434
TXN-000066,CUST-0142,2026-05-02,78.51,7,healthcare,in_store,US,71,2278
TXN-000067,CUST-0058,2026-04-02,48.18,7,fuel,online,GB,24,3711
TXN-000068,CUST-0290,2026-05-25,29.41,6,groceries,mobile,GB,76,4408
TXN-000069,CUST-0319,2026-01-23,24.58,4,travel,mobile,US,41,4153
TXN-000070,CUST-0014,2026-06-07,7.13,11,fuel,online,ES,60,4175
TXN-000071,CUST-0350,2026-02-06,115.3,8,healthcare,online,NL,66,1903
TXN-000072,CUST-0192,2026-03-11,27.62,9,utilities,online,US,67,714
TXN-000073,CUST-0187,2026-04-29,37.5,1,utilities,online,US,24,4015
TXN-000074,CUST-0174,2026-06-18,7.88,6,fuel,in_store,US,51,3749
TXN-000075,CUST-0188,2026-03-05,33.41,3,healthcare,online,US,46,2599
TXN-000076,CUST-0333,2026-04-02,47.6,3,travel,in_store,ES,69,3459
TXN-000077,CUST-0312,2026-04-07,22.01,2,fuel,in_store,DE,66,4304
