transaction_id,customer_id,transaction_date,amount,items,merchant_category,channel,country,customer_age,loyalty_points
TXN-000183,CUST-0085,2026-06-17,43.5,11,fuel,in_store,GB,80,1228
TXN-000001,CUST-0134,2026-06-28,43.06,11,electronics,mobile,DE,56,4950
TXN-000318,CUST-0164,2026-01-03,2.64,2,restaurants,mobile,GB,51,3685
TXN-000147,CUST-0299,2026-05-01,23.87,3,electronics,online,US,21,4508
TXN-000201,CUST-0112,2026-03-16,5.91,11,groceries,in_store,DE,30,2464
TXN-000248,CUST-0112,2026-04-24,39.07,1,restaurants,online,NL,32,2876
TXN-000200,CUST-0013,2026-01-19,24.18,11,travel,in_store,DE,58,1862
TXN-000187,CUST-0169,2026-04-30,25.14,11,groceries,mobile,GB,75,2883
TXN-000379,CUST-0356,2026-01-08,22.22,8,restaurants,online,US,79,2260
TXN-000030,CUST-0376,2026-05-17,4.84,2,fuel,online,DE,25,2374
TXN-000105,CUST-0065,2026-06-01,9.23,6,restaurants,in_store,GB,42,921
TXN-000361,CUST-0160,2026-03-10,21.2,7,utilities,in_store,GB,44,2949
TXN-000159,CUST-0279,2026-01-07,8.43,1,electronics,mobile,GB,63,3060
TXN-000144,CUST-0147,2026-05-01,14.09,3,groceries,in_store,US,34,2625
TXN-000311,CUST-0100,2026-04-18,12.69,2,healthcare,mobile,DE,79,4696
TXN-000286,CUST-0291,2026-06-13,125.0,5,fuel,online,GB,70,4824
TXN-000166,CUST-0395,2026-01-29,8.38,9,groceries,in_store,GB,55,251
TXN-000212,CUST-0017,2026-03-20,14.25,2,travel,in_store,FR,30,4769
TXN-000238,CUST-0278,2026-06-06,23.22,7,fuel,online,ES,44,1701
TXN-000292,CUST-0287,2026-05-01,54.72,1,travel,mobile,US,33,4508
TXN-000077,CUST-0312,2026-06-10,21.66,8,electronics,in_store,GB,43,4737
TXN-000203,CUST-0235,2026-04-04,78.98,11,electronics,mobile,GB,43,2697
TXN-000102,CUST-0045,2026-04-25,23.12,9,restaurants,mobile,US,36,4148
TXN-000107,CUST-0017,2026-02-25,33.39,3,travel,in_store,GB,69,4602
TXN-000190,CUST-0166,2026-06-22,42.54,8,utilities,in_store,US,25,3383
TXN-000088,CUST-0384,2026-06-20,28.84,5,healthcare,mobile,NL,58,377
TXN-000001,CUST-0061,2026-04-05,44.37,7,restaurants,mobile,GB,41,3145
TXN-000396,CUST-0279,2026-01-26,42.58,6,electronics,in_store,US,18,2580
TXN-000228,CUST-0242,2026-06-26,21.93,9,restaurants,online,FR,52,1968
TXN-000378,CUST-0136,2026-03-27,22.88,5,utilities,mobile,US,25,4691
TXN-000362,CUST-0195,2026-05-10,59.07,4,healthcare,in_store,FR,38,3230
TXN-000198,CUST-0379,2026-06-14,58.01,4,restaurants,in_store,DE,56,3254
