transaction_id,customer_id,transaction_date,amount,items,merchant_category,channel,country,customer_age,loyalty_points,batch_version
TXN-000001,CUST-0138,2026-03-01,41.73,7,utilities,online,NL,76,568,v3
TXN-000002,CUST-0065,2026-03-18,29.63,-1,healthcare,in_store,DE,30,3494,v3
TXN-000003,CUST-0230,2026-06-29,14.55,9,healthcare,mobile,DE,72,4124,v3
TXN-000004,CUST-0257,2026-06-22,72.71,3,restaurants,in_store,GB,59,728,v3
TXN-000005,CUST-0098,2026-02-03,9.59,5,utilities,online,GB,60,4868,v3
TXN-000006,CUST-0362,2026-04-01,54.63,2,groceries,mobile,GB,41,3307,v3
TXN-000007,CUST-0205,2026-03-12,25.97,2,utilities,online,NL,28,4228,v3
TXN-000008,CUST-0339,2026-06-12,11.22,3,fuel,mobile,GB,51,1126,v3
TXN-000009,CUST-0145,2026-01-10,28.16,10,electronics,online,FR,76,79,v3
TXN-000010,CUST-0200,2026-05-16,35.0,10,groceries,in_store,US,48,4552,v3
TXN-000011,CUST-0175,2026-02-21,65.85,9,restaurants,online,GB,20,3088,v3
TXN-000012,CUST-0393,2026-01-17,13.31,7,groceries,in_store,GB,38,2659,v3
TXN-000013,CUST-0117,2026-04-09,17.39,2,electronics,in_store,GB,43,4477,v3
TXN-000014,CUST-0286,2026-01-07,15.6,8,utilities,in_store,GB,35,2789,v3
TXN-000015,CUST-0316,2026-04-05,49.63,4,restaurants,online,NL,57,4064,v3
TXN-000016,CUST-0247,2026-01-12,32.96,1,travel,online,ES,75,3872,v3
TXN-000017,CUST-0137,2026-04-12,18.83,7,travel,in_store,GB,66,2090,v3
TXN-000018,CUST-0138,2026-06-21,18.45,5,travel,online,DE,61,2174,v3
TXN-000019,CUST-0293,2026-01-29,39.74,7,groceries,online,DE,66,4075,v3
TXN-000020,CUST-0164,2026-06-17,29.41,5,fuel,online,US,67,3173,v3
TXN-000021,CUST-0369,2026-06-09,17.3,6,healthcare,mobile,GB,35,2250,v3
TXN-000022,CUST-0238,2026-03-19,9.77,9,restaurants,online,GB,61,1767,v3
TXN-000023,CUST-0141,2026-03-08,40.74,5,electronics,online,GB,74,1997,v3
TXN-000024,CUST-0127,2026-05-16,25.47,8,groceries,mobile,DE,37,903,v3
TXN-000025,CUST-0104,2026-02-06,10.68,10,fuel,online,FR,56,1565,v3
TXN-000026,CUST-0395,2026-03-20,59.86,11,utilities,mobile,GB,33,3330,v3
TXN-000027,CUST-0070,2026-06-10,6.75,5,electronics,online,US,67,682,v3
TXN-000028,CUST-0029,2026-02-04,7.88,4,fuel,in_store,DE,77,1841,v3
TXN-000029,CUST-0245,2026-04-30,21.66,8,healthcare,mobile,NL,61,4665,v3
TXN-000030,CUST-0376,2026-03-14,26.54,11,fuel,in_store,US,49,1553,v3
TXN-000031,CUST-0244,2026-03-30,40.27,9,fuel,in_store,US,44,1466,v3
TXN-000032,CUST-0130,2026-06-07,23.05,7,healthcare,online,GB,45,4586,v3
TXN-000033,CUST-0027,2026-05-22,20.12,9,fuel,in_store,GB,74,1310,v3
TXN-000034,CUST-0049,2026-04-11,27.4,3,travel,mobile,GB,62,1262,v3
