transaction_id,customer_id,transaction_date,amount,items,merchant_category,channel,country,customer_age,loyalty_points,promo_code
TXN-000001,CUST-0138,2026-04-13,20.43,4.0,restaurants,online,US,77.0,4100.0,
TXN-000002,CUST-0065,2026-04-25,33.95,10.0,utilities,online,US,27.0,682.0,
TXN-000003,CUST-0230,2026-04-20,112.57,7.0,groceries,online,ES,18.0,3908.0,
TXN-000004,CUST-0257,2026-06-08,26.6,5.0,utilities,online,FR,63.0,,
TXN-000005,CUST-0098,2026-06-01,23.12,9.0,healthcare,in_store,GB,,2660.0,
TXN-000006,CUST-0362,2026-01-20,8.75,7.0,restaurants,in_store,NL,80.0,3339.0,
TXN-000007,CUST-0205,2026-02-25,14.94,11.0,utilities,in_store,GB,44.0,2776.0,
TXN-000008,CUST-0339,2026-06-28,9.23,7.0,electronics,mobile,GB,22.0,,
TXN-000009,CUST-0145,2026-02-14,66.14,10.0,electronics,in_store,US,80.0,,
TXN-000010,CUST-0200,2026-06-14,33.39,4.0,utilities,online,DE,37.0,3500.0,
TXN-000011,CUST-0175,2026-01-10,4.56,8.0,utilities,in_store,NL,43.0,185.0,
TXN-000012,CUST-0393,2026-04-26,47.53,3.0,utilities,in_store,GB,,,
TXN-000013,CUST-0117,2026-05-03,17.54,10.0,groceries,in_store,ES,38.0,2491.0,
TXN-000014,CUST-0286,2026-02-07,71.96,7.0,utilities,mobile,US,35.0,174.0,WELCOME
TXN-000015,CUST-0316,2026-05-31,11.78,3.0,travel,mobile,GB,54.0,4192.0,
TXN-000016,CUST-0247,2026-06-19,6.47,9.0,electronics,mobile,US,41.0,,
TXN-000017,CUST-0137,2026-01-09,56.7,11.0,fuel,online,DE,76.0,2362.0,
TXN-000018,CUST-0138,2026-06-19,41.62,8.0,restaurants,online,GB,77.0,906.0,
TXN-000019,CUST-0293,2026-02-12,14.78,4.0,utilities,online,FR,,4135.0,
TXN-000020,CUST-0164,2026-03-26,18.76,3.0,healthcare,in_store,DE,25.0,98.0,
TXN-000021,CUST-0369,2026-06-21,24.58,7.0,utilities,online,US,59.0,4921.0,
TXN-000022,CUST-0238,2026-06-03,21.45,7.0,travel,mobile,US,29.0,1983.0,WELCOME
TXN-000023,CUST-0141,2026-06-25,6.83,1.0,groceries,mobile,NL,,,SPRING10
TXN-000024,CUST-0127,2026-02-13,20.27,2.0,electronics,mobile,GB,61.0,3366.0,
TXN-000025,CUST-0104,2026-06-10,22.55,5.0,travel,mobile,US,65.0,,
TXN-000026,CUST-0395,2026-02-22,19.8,8.0,electronics,online,FR,47.0,,
TXN-000027,CUST-0070,2026-04-09,84.19,10.0,travel,online,GB,77.0,,
TXN-000028,CUST-0029,2026-06-13,35.6,4.0,electronics,online,GB,30.0,4338.0,
TXN-000029,CUST-0245,2026-06-28,56.93,8.0,utilities,in_store,DE,51.0,1024.0,
TXN-000030,CUST-0376,2026-01-15,14.26,3.0,electronics,online,US,56.0,,
TXN-000031,CUST-0244,2026-06-14,16.17,9.0,fuel,mobile,FR,81.0,4435.0,
TXN-000032,CUST-0130,2026-04-22,24.84,10.0,fuel,online,FR,55.0,3259.0,
TXN-000033,CUST-0027,2026-06-09,5.48,4.0,travel,online,US,77.0,,
TXN-000034,CUST-0049,2026-01-26,15.7,1.0,healthcare,in_store,DE,55.0,981.0,
TXN-000035,CUST-0223,2026-03-03,8.8,1.0,groceries,online,NL,42.0,4410.0,
TXN-000036,CUST-0149,2026-04-02,20.95,6.0,electronics,in_store,US,41.0,1699.0,
TXN-000037,CUST-0157,2026-02-25,23.23,3.0,healthcare,in_store,DE,32.0,184.0,
TXN-000038,CUST-0111,2026-06-01,23.31,3.0,healthcare,in_store,NL,32.0,,
TXN-000039,CUST-0187,2026-01-15,21.07,1.0,fuel,online,GB,66.0,850.0,
TXN-000040,CUST-0058,2026-02-12,25.41,1.0,fuel,mobile,DE,65.0,4696.0,
TXN-000041,CUST-0154,2026-05-08,18.39,11.0,fuel,in_store,DE,22.0,,
TXN-000042,CUST-0288,2026-03-18,30.34,8.0,electronics,in_store,US,49.0,,
TXN-000043,CUST-0329,2026-04-27,38.41,2.0,fuel,online,GB,33.0,495.0,
TXN-000044,CUST-0346,2026-05-01,21.34,6.0,restaurants,in_store,US,56.0,3689.0,
TXN-000045,CUST-0249,2026-05-15,10.88,8.0,travel,online,DE,42.0,116.0,
TXN-000046,CUST-0150,2026-05-18,24.85,8.0,restaurants,online,GB,66.0,,
TXN-000047,CUST-0203,2026-05-01,14.09,10.0,groceries,mobile,GB,58.0,1946.0,
TXN-000048,CUST-0234,2026-06-01,58.51,5.0,utilities,online,GB,72.0,,
TXN-000049,CUST-0236,2026-02-09,29.02,8.0,groceries,mobile,DE,26.0,1276.0,
TXN-000050,CUST-0164,2026-05-08,23.87,8.0,utilities,mobile,US,,1439.0,
TXN-000051,CUST-0071,2026-04-24,11.43,9.0,healthcare,online,GB,,,
TXN-000052,CUST-0261,2026-03-01,10.46,7.0,fuel,mobile,GB,,,
TXN-000053,CUST-0353,2026-04-01,23.37,2.0,groceries,online,DE,35.0,,
TXN-000054,,,,,,,,,,
TXN-000055,CUST-0188,2026-03-07,13.77,3.0,healthcare,in_store,GB,69.0,2148.0,
TXN-000056,CUST-0228,2026-03-31,94.0,5.0,healthcare,in_store,FR,65.0,2781.0,
TXN-000057,CUST-0251,2026-01-29,17.78,9.0,fuel,online,US,34.0,,
