transaction_id,customer_id,transaction_date,amount,items,merchant_category,channel,country,customer_age,loyalty_points
TXN-000001,CUST-0138,2026-04-13,20.43,4,restaurants,online,US,77,4100
TXN-000002,CUST-0065,2026-04-25,33.95,10,utilities,online,US,27,682
TXN-000003,CUST-0230,2026-04-20,112.57,7,groceries,online,ES,18,3908
TXN-000004,CUST-0257,2026-06-08,26.6,5,utilities,online,FR,63,774
TXN-000005,CUST-0098,2026-06-01,23.12,9,healthcare,in_store,GB,80,2660
TXN-000006,CUST-0362,2026-01-20,8.75,7,restaurants,in_store,NL,80,3339
TXN-000007,CUST-0205,2026-02-25,14.94,11,utilities,in_store,GB,44,2776
TXN-000008,CUST-0339,2026-06-28,9.23,7,electronics,mobile,GB,22,1638
TXN-000009,CUST-0145,2026-02-14,66.14,10,electronics,in_store,US,80,4196
TXN-000010,CUST-0200,2026-06-14,33.39,4,utilities,online,DE,37,3500
TXN-000011,CUST-0175,2026-01-10,4.56,8,utilities,in_store,NL,43,185
TXN-000012,CUST-0393,2026-04-26,47.53,3,utilities,in_store,GB,56,1606
TXN-000013,CUST-0117,2026-05-03,17.54,10,groceries,in_store,ES,38,2491
TXN-000014,CUST-0286,2026-02-07,71.96,7,utilities,mobile,US,35,174
TXN-000015,CUST-0316,2026-05-31,11.78,3,travel,mobile,GB,54,4192
TXN-000016,CUST-0247,2026-06-19,6.47,9,electronics,mobile,US,41,3061
TXN-000017,CUST-0137,2026-01-09,56.7,11,fuel,online,DE,76,2362
TXN-000018,CUST-0138,2026-06-19,41.62,8,restaurants,online,GB,77,906
TXN-000019,CUST-0293,2026-02-12,14.78,4,utilities,online,FR,40,4135
TXN-000020,CUST-0164,2026-03-26,18.76,3,healthcare,in_store,DE,25,98
TXN-000021,CUST-0369,2026-06-21,24.58,7,utilities,online,US,59,4921
TXN-000022,CUST-0238,2026-06-03,21.45,7,travel,mobile,US,29,1983
TXN-000023,CUST-0141,2026-06-25,6.83,1,groceries,mobile,NL,65,930
TXN-000024,CUST-0127,2026-02-13,20.27,2,electronics,mobile,GB,61,3366
TXN-000025,CUST-0104,2026-06-10,22.55,5,travel,mobile,US,65,4084
TXN-000026,CUST-0395,2026-02-22,19.8,8,electronics,online,FR,47,395
TXN-000027,CUST-0070,2026-04-09,84.19,10,travel,online,GB,77,888
TXN-000028,CUST-0029,2026-06-13,35.6,4,electronics,online,GB,30,4338
TXN-000029,CUST-0245,2026-06-28,56.93,8,utilities,in_store,DE,51,1024
TXN-000030,CUST-0376,2026-01-15,14.26,3,electronics,online,US,56,3847
TXN-000031,CUST-0244,2026-06-14,16.17,9,fuel,mobile,FR,81,4435
TXN-000032,CUST-0130,2026-04-22,24.84,10,fuel,online,FR,55,3259
TXN-000033,CUST-0027,2026-06-09,5.48,4,travel,online,US,77,2331
TXN-000034,CUST-0049,2026-01-26,15.7,1,healthcare,in_store,DE,55,981
TXN-000035,CUST-0223,2026-03-03,8.8,1,groceries,online,NL,42,4410
TXN-000036,CUST-0149,2026-04-02,20.95,6,electronics,in_store,US,41,1699
TXN-000037,CUST-0157,2026-02-25,23.23,3,healthcare,in_store,DE,32,184
TXN-000038,CUST-0111,2026-06-01,23.31,3,healthcare,in_store,NL,32,1959
TXN-000039,CUST-0187,2026-01-15,21.07,1,fuel,online,GB,66,850
TXN-000040,CUST-0058,2026-02-12,25.41,1,fuel,mobile,DE,65,4696
TXN-000041,CUST-0154,2026-05-08,18.39,11,fuel,in_store,DE,22,73
TXN-000042,CUST-0288,2026-03-18,30.34,8,electronics,in_store,US,49,1552
TXN-000043,CUST-0329,2026-04-27,38.41,2,fuel,online,GB,33,495
TXN-000044,CUST-0346,2026-05-01,21.34,6,restaurants,in_store,US,56,3689
TXN-000045,CUST-0249,2026-05-15,10.88,8,travel,online,DE,42,116
TXN-000046,CUST-0150,2026-05-18,24.85,8,restaurants,online,GB,66,1963
TXN-000047,CUST-0203,2026-05-01,14.09,10,groceries,mobile,GB,199,1946
TXN-000048,CUST-0234,2026-06-01,58.51,5,utilities,online,GB,72,2469
TXN-000049,CUST-0236,2026-02-09,29.02,8,groceries,mobile,DE,26,1276
TXN-000050,CUST-0164,2026-05-08,23.87,8,utilities,mobile,US,49,1439
TXN-000051,CUST-0071,2026-04-24,11.43,9,healthcare,online,GB,67,2085
TXN-000052,CUST-0261,2026-03-01,10.46,7,fuel,mobile,GB,78,1013
TXN-000053,CUST-0353,2026-04-01,23.37,2,groceries,online,DE,35,4581
TXN-000054,CUST-0046,2026-03-16,63.4,6,healthcare,in_store,GB,58,3962
TXN-000055,CUST-0188,2026-03-07,13.77,3,healthcare,in_store,GB,69,2148
TXN-000056,CUST-0228,2026-03-31,94.0,5,healthcare,in_store,FR,65,2781
TXN-000057,CUST-0251,2026-01-29,17.78,9,fuel,online,US,34,1129
TXN-000058,CUST-0210,2026-03-09,25.95,2,healthcare,in_store,GB,40,4786
TXN-000059,CUST-0334,2026-01-07,48.01,6,fuel,in_store,US,80,4182
TXN-000060,CUST-0044,2026-02-08,23.91,9,groceries,online,DE,38,4978
TXN-000061,CUST-0116,2026-03-22,30.61,9,fuel,online,GB,51,3273
TXN-000062,CUST-0005,2026-01-01,8.43,4,healthcare,online,US,57,3638
TXN-000063,CUST-0100,2026-06-17,14.79,2,groceries,online,GB,22,281
TXN-000064,CUST-0251,2026-03-04,41.3,7,fuel,online,GB,65,173
TXN-000065,CUST-0219,2026-03-23,18.91,6,utilities,mobile,US,25,1502
TXN-000066,CUST-0142,2026-01-29,74.04,8,utilities,online,DE,27,4337
TXN-000067,CUST-0058,2026-05-18,18.26,3,travel,mobile,US,55,1673
TXN-000068,CUST-0290,2026-01-06,59.12,4,healthcare,in_store,GB,52,3806
TXN-000069,CUST-0319,2026-04-03,8.38,4,utilities,in_store,GB,27,2800
TXN-000070,CUST-0014,2026-03-06,33.29,1,electronics,in_store,DE,71,2724
TXN-000071,CUST-0350,2026-03-15,17.32,9,travel,mobile,US,79,3286
